  ΓöÇΓöÇ EigenvalueEq (1129) ΓöÇΓöÇ
    [EigenvalueEq|d_dr] (-Γûí+x_exp_a)(L1) = 0.72050341┬╖L1 (eigenvalue)  (residual=1.84e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+exp_inv_a)(L1) = 0.12254875┬╖L1 (eigenvalue)  (residual=4.29e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+half_x)(L1) = 0.80901717┬╖L1 (eigenvalue)  (residual=1.08e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sech2)(L1) = 0.29119652┬╖L1 (eigenvalue)  (residual=1.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss2)(L1) = 0.27008527┬╖L1 (eigenvalue)  (residual=9.45e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+clip_para)(L1) = 0.34549122┬╖L1 (eigenvalue)  (residual=1.75e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+step)(L1) = 1┬╖L1 (eigenvalue)  (residual=0.00e+00, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+abs)(L1) = 1.6180343┬╖L1 (eigenvalue)  (residual=2.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+pow_half)(L1) = 1.2720198┬╖L1 (eigenvalue)  (residual=8.50e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+id)(half_x) = 1.6180343┬╖half_x (eigenvalue)  (residual=2.83e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sq)(half_x) = 2.6180351┬╖half_x (eigenvalue)  (residual=9.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cube)(half_x) = 4.2360707┬╖half_x (eigenvalue)  (residual=2.22e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+x4)(half_x) = 6.8541079┬╖half_x (eigenvalue)  (residual=4.80e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+x5)(half_x) = 11.090182┬╖half_x (eigenvalue)  (residual=9.70e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+inv)(half_x) = 0.61803386┬╖half_x (eigenvalue)  (residual=1.08e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+inv_sq)(half_x) = 0.38196585┬╖half_x (eigenvalue)  (residual=1.34e-07, pts=8)
